,title,company,rating,search_city,location,salary,age,summary
21,Senior Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,Are you a Software Engineer who wants to join a leading cyber team within an evolving and dynamic organisation?Different thinking for a Different world.
22,Data Scientist,Venturi,5.0,Manchester,Manchester,"£40,000 - £50,000 a year",30+ days ago,"If you are a Data Scientist ( R / Python / SQL ) looking for a role which offers a brilliant blend of research & development, artificial intelligence and pure…"
23,"Digital Insight Week, Manchester, Summer 2020",PwC,4.0,Manchester,Manchester,,30+ days ago,"In order to apply for the Digital Insight Week, you will need to meet the following criteria:Currently in Year 12 (England and Wales) or S5 (Scotland) or Year…"
24,Senior Business Analyst,Virgin Media,3.7,Manchester,Manchester M22,"£50,000 - £55,000 a year",30+ days ago,"This role sits within our Delivery function and has two main focus areas – Digital Retail, ensuring that we are constantly giving the best service to our…"
25,Commercial Manager,Peak,,Manchester,Manchester,,Just posted,To drive new business growth and successfully generate sales of our world leading enterprise AI system.We are looking for commercially-minded people who have…
26,Senior AI Technology Engineer,Arm,4.1,Manchester,Manchester,,30+ days ago,"You will be a creative, positive, adaptable and experienced individual with a very strong AI & Technology background, a strong background in Artificial…"
27,Corporate Transaction Lawyer,Latham & Watkins LLP,4.2,Manchester,Manchester,,11 days ago,"A willingness to learn and use cutting-edge technology, such as artificial intelligence (AI) or machine-based learning software and legal project management…"
28,"Growth Sales Executive (SF, Denver, Phoenix, NY, London, or...",BrightTALK,2.9,Manchester,Manchester,,30+ days ago,"You will be selling BrightTALK's SaaS content marketing platform, content services and high quality leads that are generated by connecting client content to…"
29,"Senior Specialist, Data Scientist - Digital London/Mancheste...",BNY Mellon,3.5,Manchester,Manchester,,30+ days ago,"The Digital team drives BNY Mellon’s core digitization strategy and is responsible for mapping our digital future, investing in digital client and internal…"
30,"Senior Principal, Data Scientist - Digital London/Manchester",BNY Mellon,3.5,Manchester,Manchester,,30+ days ago,"The Digital team drives BNY Mellon’s core digitization strategy and is responsible for mapping our digital future, investing in digital client and internal…"
31,Business Analyst,MHR,3.6,Manchester,Manchester,,28 days ago,"Understanding of data, analytics and artificial intelligence technologies.Due to continued growth, MHR Analytics are recruiting for a Business Analyst to…"
32,Transactional Lawyer - Commercial,BCL Legal,4.2,Manchester,,"£53,000 - £85,000 a year",8 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
33,Data Scientist,Age Check Certification Scheme,,Manchester,,"£22,000 - £25,000 a year",14 days ago,We test that age check systems work.You will work with our Certification Team to carry out data analysis and reporting internally and for clients.
34,PE Software Digital Platform Graduate,Jaguar Land Rover,3.8,Manchester,,"£29,000 a year",30+ days ago,"Focusing on vehicle connection, offboard digital platform, big data, machine learning, artificial intelligence, Internet of things (IOT), and customer facing in…"
35,Senior Software Engineer,Rinicare Ltd,,Manchester,,"£45,000 - £60,000 a year",30+ days ago,"We are looking for a Senior Software Engineer, working on our next generation of products.You will be based at our Alderley Park office, which is the UK’s…"
36,Transactional Lawyer - Litigation,BCL Legal,4.2,Manchester,,"£52,000 - £75,000 a year",3 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
37,Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,"With a primary focus on Java, your experience will cover different technologies within an agile environment.Different thinking for a Different world."
38,Transactional Lawyer - Commercial,BCL Legal,4.2,Manchester,,"£53,000 - £85,000 a year",8 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
39,Internship - Software Engineering - 2020,The Hut Group,2.5,Manchester,Manchester,,30+ days ago,Join THG as an Intern in Technology & you will:Work on a wide variety of exciting and technically challenging projects.
40,Sales Support Administrator,Innovative Technology Ltd,3.1,Manchester,Oldham,,15 days ago,"In return, this role is offering a highly-competitive basic salary, flexible working, pension, private healthcare and much more – full details below."
41,Senior Software Engineer (Scala),Arctic Shores,,Manchester,Manchester,"£50,000 - £65,000 a year",30+ days ago,"Are you interested in developing your cross-functional technical skills?As our cross functional developer, you will be helping build and develop our globally…"
42,Business Intelligence Solution Architect,Freshfields Bruckhaus Deringer LLP,4.1,Manchester,Manchester,,30+ days ago,"Knowledge and experience of Advanced Analytics, Artificial Intelligence and/or Machine Learning concepts and implications for Information Architectures;"
43,"Counsel – EMEA Technology, Innovation, Cybersecurity & Priva...",BNY Mellon,3.5,Manchester,Manchester,,30+ days ago,"Providing legal advice to global stakeholders on regional and enterprise-wide technology initiatives, which may include infrastructure and cloud strategy,…"
44,Junior Software Engineer,UK Tote Group,,Manchester,Wigan,,30+ days ago,"A passion for emerging technologies like machine learning and artificial intelligence.You can deliver new software solutions to users daily, thrive on problem…"
45,Head of Engineering,Peak,,Manchester,Manchester,,30+ days ago,We are looking for a talented Head of Engineering to lead the team building Peak’s Artificial Intelligence System - a centralised system of intelligence.
46,Senior Data Scientist,Peak,,Manchester,Manchester,,30+ days ago,"To bring your commercial and/or technical expertise to develop our AI solutions to customers.Using your domain knowledge in customer behaviour, demand…"
47,Principal AI Engineer,Peak,,Manchester,Manchester,,30+ days ago,"Broad technical interests along with a deep knowledge of a particular field such as computer vision, data science and machine learning, advanced computing, and…"
48,Data Scientist,Age Check Certification Scheme,,Manchester,,"£22,000 - £25,000 a year",14 days ago,We test that age check systems work.You will work with our Certification Team to carry out data analysis and reporting internally and for clients.
49,Senior Software Engineer,Rinicare Ltd,,Manchester,,"£45,000 - £60,000 a year",30+ days ago,"We are looking for a Senior Software Engineer, working on our next generation of products.You will be based at our Alderley Park office, which is the UK’s…"
50,PE Software Digital Platform Graduate,Jaguar Land Rover,3.8,Manchester,,"£29,000 a year",30+ days ago,"Focusing on vehicle connection, offboard digital platform, big data, machine learning, artificial intelligence, Internet of things (IOT), and customer facing in…"
51,Transactional Lawyer - Litigation,BCL Legal,4.2,Manchester,,"£52,000 - £75,000 a year",3 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
52,Transactional Lawyer - Commercial,BCL Legal,4.2,Manchester,,"£53,000 - £85,000 a year",8 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
53,Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,"With a primary focus on Java, your experience will cover different technologies within an agile environment.Different thinking for a Different world."
54,Research Scientist – Research & Applied Data Science,Aspire Data Recruitment,,Manchester,Manchester,"£45,000 - £55,000 a year",30+ days ago,"Research Scientist – Research & Applied Data Science.Manchester, to £55,000 + bonus & benefits.Develop and apply knowledge of mathematical and statistical…"
55,Graduate Software Engineer - 2020,The Hut Group,2.5,Manchester,Manchester,,30+ days ago,Join THG as a Graduate in Technology & you will:Work on a wide variety of exciting and technically challenging projects.
56,THG Accelerator (Graduate Software Engineer) September 2020,The Hut Group,2.5,Manchester,Manchester,,30+ days ago,"Work on a variety of bleeding edge technologies including distributed computing, natural language, machine learning and artificial intelligence."
57,Senior Technical Editor - United Kingdom Locations,Certara,,Manchester,Daresbury,,14 days ago,"Synchrogenix’s Office of Regulatory Intelligence, Policy and Strategy is comprised of proactive policy drivers focused on efficient planning who provide real…"
58,Technical Editor II - UK Locations,Certara,,Manchester,Daresbury,,14 days ago,"Synchrogenix’s Office of Regulatory Intelligence, Policy and Strategy is comprised of proactive policy drivers focused on efficient planning who provide real…"
59,Tech Returners - Developer,ANS Group,4.5,Manchester,Manchester,,30+ days ago,"ANS is looking for a Developer to join our Application Development Team in Manchester.In this role, you'll be expected to:What’s in it for you?"
60,"Account Manager, Commercial - North",ANS Group,4.5,Manchester,Manchester,,30+ days ago,"ANS is looking for an experienced Account Manager, Commercial to join our Sales team in Manchester.In this role, you'll be expected to:"
61,"Site Reliability Engineer (SRE), DevOps Engineer",Head Resourcing Limited,,Manchester,Manchester,"£60,000 - £90,000 a year",30+ days ago,You'll also need to demonstrate experience with containerisation technologies such as Kubernetes and/or Docker.Extensive knowledge of AWS is also a must.
62,Software Engineer,Innovative Technology Ltd,3.1,Manchester,Oldham,,15 days ago,"Are you a Software Engineer with 2-3 years’ experience who’s looking to work in a fast paced, Innovative, global, market leading company?"
63,PE Software Digital Platform Graduate,Jaguar Land Rover,3.8,Manchester,,"£29,000 a year",30+ days ago,"Focusing on vehicle connection, offboard digital platform, big data, machine learning, artificial intelligence, Internet of things (IOT), and customer facing in…"
64,Data Scientist,Age Check Certification Scheme,,Manchester,,"£22,000 - £25,000 a year",14 days ago,We test that age check systems work.You will work with our Certification Team to carry out data analysis and reporting internally and for clients.
65,Transactional Lawyer - Commercial,BCL Legal,4.2,Manchester,,"£53,000 - £85,000 a year",8 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
66,Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,"With a primary focus on Java, your experience will cover different technologies within an agile environment.Different thinking for a Different world."
67,Senior Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,Are you a Software Engineer who wants to join a leading cyber team within an evolving and dynamic organisation?Different thinking for a Different world.
68,Transactional Lawyer - Litigation,BCL Legal,4.2,Manchester,,"£52,000 - £75,000 a year",3 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
69,Senior Data Developer (Full Stack),ANS Group,4.5,Manchester,Manchester,,30+ days ago,Maintain business intelligence models outlined in design.Determine business intelligence and data warehousing solutions to meet business needs and user…
70,Developer,ANS,,Manchester,Manchester,,14 days ago,"ANS is looking for a Developer to join our Application Development Team in Manchester.In this role, you'll be expected to:Think youve got what it takes?"
71,Developer,ANS Group,4.5,Manchester,Manchester,,30+ days ago,"ANS is looking for a Developer to join our Application Development Team in Manchester.In this role, you'll be expected to:What’s in it for you?"
72,Senior Data Implementation Engineer,Peak,,Manchester,Manchester,,30+ days ago,"You’ll get to work closely with our Data Science teams to deliver AI solutions for our customers on the AIS, ultimately helping those clients grow and optimise…"
73,Head of Data Science – Manchester - £70-120K,Consult RPM,,Manchester,Manchester,"£100,000 a year",30+ days ago,Head of Data Science – Manchester.Consult Technology is working with a leading Fintech business based in Manchester City Centre who due to continued growth…
74,FULL STACK .NET DEVELOPER,Searchability,4.3,Manchester,Salford,"£40,000 a year",13 days ago,"We are a solutions provider at the forefront of the eCommerce industry.Salary up to 40K DOE + 25 days’ holiday, free onsite parking , up to 5% pension,…"
75,Senior Regulatory Writer - United Kingdom Locations,Certara,,Manchester,Daresbury,,14 days ago,"Synchrogenix’s Office of Regulatory Intelligence, Policy and Strategy is comprised of proactive policy drivers focused on efficient planning who provide real…"
76,Principal Regulatory Writer - United Kingdom Locations,Certara,,Manchester,Daresbury,,14 days ago,"Synchrogenix’s Office of Regulatory Intelligence, Policy and Strategy is comprised of proactive policy drivers focused on efficient planning who provide real…"
77,Practice Services Team Manager - Manchester,Latham & Watkins LLP,4.2,Manchester,Manchester,,30+ days ago,Demonstrates a willingness to understand – and liaise with Technology teams to continually explore - the value to the team of harnessing cutting-edge technology…
78,Senior Software Engineer,Rinicare Ltd,,Manchester,,"£45,000 - £60,000 a year",30+ days ago,"We are looking for a Senior Software Engineer, working on our next generation of products.You will be based at our Alderley Park office, which is the UK’s…"
79,Data Scientist,Age Check Certification Scheme,,Manchester,,"£22,000 - £25,000 a year",14 days ago,We test that age check systems work.You will work with our Certification Team to carry out data analysis and reporting internally and for clients.
80,PE Software Digital Platform Graduate,Jaguar Land Rover,3.8,Manchester,,"£29,000 a year",30+ days ago,"Focusing on vehicle connection, offboard digital platform, big data, machine learning, artificial intelligence, Internet of things (IOT), and customer facing in…"
81,Transactional Lawyer - Litigation,BCL Legal,4.2,Manchester,,"£52,000 - £75,000 a year",3 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
82,Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,"With a primary focus on Java, your experience will cover different technologies within an agile environment.Different thinking for a Different world."
83,Transactional Lawyer - Commercial,BCL Legal,4.2,Manchester,,"£53,000 - £85,000 a year",8 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
84,Principal Info Security Analyst - Cybersecurity Engineer,BNY Mellon,3.5,Manchester,Manchester,,30+ days ago,"The Splunk platform performs the functions of ingest, ETL, searching, correlation, monitoring, analysis (manual and Machine Learning / Artificial Intelligence),…"
85,Technical Research Manager / Lead,IBM,3.9,Manchester,Warrington,,30+ days ago,You will need demonstrate technical leadership as well as strong client experience bringing innovation to market and creating commercialization roadmaps.
86,Tech Returners - Developer,ANS,,Manchester,Manchester,,30+ days ago,"ANS is looking for a Developer to join our Application Development Team in Manchester.In this role, you'll be expected to:Think youve got what it takes?"
87,Associate Principal Regulatory Writer - United Kingdom Locat...,Certara,,Manchester,Daresbury,,14 days ago,"Synchrogenix’s Office of Regulatory Intelligence, Policy and Strategy is comprised of proactive policy drivers focused on efficient planning who provide real…"
88,ASP.NET Developer,Rinicare Ltd,,Manchester,Manchester,"£35,000 - £50,000 a year",28 days ago,"We are looking for an ASP.NET developer, working on our next generation of products.NET* and will be involved on both front & back-end."
89,SAP Structural Authorisations Consultant,Atos,3.6,Manchester,Runcorn,,30+ days ago,The purpose of Atos is to help design the future of the information technology space.To work within the Atos SAP Practice where the focus is on winning and…
90,Software Engineer - DV Cleared,Northrop Grumman UK,4.0,Manchester,Manchester,,30+ days ago,"With a primary focus on Java, your experience will cover different technologies within an agile environment.*For this role you must hold current UK Government…"
91,Tech Lead (.NET / C#),Insight IT Recruitment,5.0,Manchester,Hale,"£55,000 - £65,000 a year",30+ days ago,"There’s no point in Batman having the worlds fanciest utility belt, if he isn’t fighting crime.So what’s the point in having a good knowledge of a wide-ranging…"
92,Senior Backend Developer,Cubiq Recruitment,,Manchester,Manchester,,30+ days ago,"Experience deploying Artificial Intelligence/Machine Learning systems into production.Up to £60,000 + Share Options + Flexible working."
93,Senior Software Engineer,Rinicare Ltd,,Manchester,,"£45,000 - £60,000 a year",30+ days ago,"We are looking for a Senior Software Engineer, working on our next generation of products.You will be based at our Alderley Park office, which is the UK’s…"
94,Data Scientist,Age Check Certification Scheme,,Manchester,,"£22,000 - £25,000 a year",14 days ago,We test that age check systems work.You will work with our Certification Team to carry out data analysis and reporting internally and for clients.
95,PE Software Digital Platform Graduate,Jaguar Land Rover,3.8,Manchester,,"£29,000 a year",30+ days ago,"Focusing on vehicle connection, offboard digital platform, big data, machine learning, artificial intelligence, Internet of things (IOT), and customer facing in…"
96,Transactional Lawyer - Litigation,BCL Legal,4.2,Manchester,,"£52,000 - £75,000 a year",3 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
97,Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,"With a primary focus on Java, your experience will cover different technologies within an agile environment.Different thinking for a Different world."
98,Transactional Lawyer - Commercial,BCL Legal,4.2,Manchester,,"£53,000 - £85,000 a year",8 days ago,Harnessing artificial intelligence and other innovative software solutions.A leading global law firm is currently looking for a Transactional Lawyer -…
99,UX/UI Designer,Mission Labs,5.0,Manchester,Rossendale,,30+ days ago,"SmartAgent builds bespoke communication solutions for enterprise contact centres including voice and chat bots, contact automation and artificial intelligence."
100,Senior C# Developer / Tech Lead,Insight IT Recruitment,5.0,Manchester,Altrincham,"£65,000 a year",30+ days ago,"If you're thinking about moving jobs in the new year, maybe you should think twice... What if now is the best time to change jobs? It's been proven that in…"
101,Software Architect,Taylorollinson,,Manchester,Warrington,"£75,000 a year",30+ days ago,"Location: Office based from one of 4 locations: Oxfordshire, Hertfordshire, Leicestershire, Cheshire.Sector: IT / Science / Engineering / Mathematics."
102,Software Developer,ShortList,,Manchester,Warrington,"£40,000 a year",30+ days ago,This Software Developer would be well suited to an experienced developer who has a demonstrable interest in artificial intelligence and machine learning and who…
103,Senior Software Engineer - DV Cleared,Northrop Grumman UK,4.0,Manchester,Manchester,,30+ days ago,Are you a Software Engineer who wants to join a leading cyber team within an evolving and dynamic organisation?Different thinking for a Different world.
104,Senior Developer,ShortList,,Manchester,Warrington,"£60,000 a year",30+ days ago,This Senior Developer role would be well suited to an experienced senior individual who has a demonstrable interest in artificial intelligence and machine…
105,Senior Back-End Developer,DigitalBridge,,Manchester,Manchester,,30+ days ago,Experience deploying Artificial Intelligence/Machine Learning systems into production.You will be working closely with multiple teams across the business such…
106,Senior Software Engineer,Rinicare Ltd,,Manchester,,"£45,000 - £60,000 a year",30+ days ago,"We are looking for a Senior Software Engineer, working on our next generation of products.You will be based at our Alderley Park office, which is the UK’s…"
107,Senior Software Engineer,Northrop Grumman UK,4.0,Manchester,,,30+ days ago,Are you a Software Engineer who wants to join a leading cyber team within an evolving and dynamic organisation?Different thinking for a Different world.
108,Associate Vice President,TalentPartners.js,,Manchester,,,20 days ago,"TalentPartners.js works closely with executives and investors at hypergrowth startups across Europe & Silicon Valley, and helps build leading executive,…"
109,Data Analyst / Database Developer,Rise Technical Recruitment Limited,4.1,Manchester,,"£20,000 - £27,000 a year",26 days ago,Building SQL queries to extract data from a single data source.Experience extracting data from SQL.This position would suit a Data Analyst / Database…
110,MI Data Analyst,First Dispute Management Limited,,Manchester,Manchester M2,,Just posted,MI Analyst (Power BI)- Manchester*.Experience in preparing and presenting data.We are currently recruiting for an MI Analyst to join our expanding business.
111,Operational Data Analyst,Arrow Global,3.7,Manchester,Manchester M2,,3 days ago,We have a fantastic new role for an Operational Data Analyst to join our Fulfilment and Remediation Department on a permanent basis.Life Assurance 4 x salary.
112,Data Analyst,St John Ambulance Employees,3.9,Manchester,Stockport SK4,"£23,150 - £25,633 a year",5 days ago,"As a Data Analyst in the Assurance & Quality team, you will be responsible for providing data analysis and reports to enable the Assurance team to deliver high…"
113,Data Analyst Learning & Development Coach,West London,,Manchester,Manchester,,6 days ago,"Effectively analyse data at the appropriate level using tools.Ideally, you will have knowledge and/or experience of BCS’s qualification portfolio."
114,Data Analyst,m/SIX,,Manchester,Manchester,,30+ days ago,You have solid experience of working within a data analyst role in the media or marketing industry.Management of data feeds and ensuring accuracy of data…
115,Data Analyst,Pareto Law,3.5,Manchester,Manchester,"£25,000 - £31,500 a year",13 days ago,"The Role: Graduate Data Analyst.Responsibilities as a Graduate Data Analyst:As a Graduate Data Analyst, you will join the front line of this multi-national…"
116,Data Analyst,Oscar Technology,4.0,Manchester,Manchester,"£26,000 - £30,000 a year",Today,"Data manipulation, data analysis, report production.A Data Analyst is required to join an established organisation with an annual turnover of over £1 billion…"
117,Commercial Data Analyst,Worldgroup Careers MWT,4.0,Manchester,Stockport,,3 days ago,"As Commercial Data Analyst You’ll Bring….As Commercial Data Analyst You’ll Have Access To….For more information on our Commercial Data Analyst role, click…"
118,Data Analyst,Agility Resourcing,,Manchester,Manchester,"£28,000 - £33,000 a year",19 days ago,Our client an established global business based near Manchester are looking for a Data Analyst to join their data analytics team.What are we looking for?
119,Data Analyst (Commercial),Booking.com,3.8,Manchester,Manchester,,30+ days ago,Core activities: The analyst would….Working experience with PowerBI/Tableau or other data visualization tools.Strong verbal and written communication skills.
120,Interim Data Modeller / Data Modelling,Triumph Consultants Ltd,4.0,Manchester,,£430 a day,19 days ago,"Data technologies and approaches, including some or all of the following: relational databases, data warehousing, Data Marts,.What's involved with this role:"
121,Data Analyst / Database Developer,Rise Technical Recruitment Limited,4.1,Manchester,,"£20,000 - £27,000 a year",26 days ago,Building SQL queries to extract data from a single data source.Experience extracting data from SQL.This position would suit a Data Analyst / Database…
122,TRA Data Analyst,BDO,3.7,Manchester,Manchester,,30+ days ago,Experience in some (not necessarily all) of the following analytical techniques: data matching; data profiling; data transformation; cluster analysis; linear…
123,Data Analyst/ MI Analyst (Financial Services),N Brown,3.0,Manchester,Manchester,"£30,000 a year",30+ days ago,"As our Data Analyst/ MI Analyst, you will also be responsible for:We are on the lookout for a Data Analyst/ MI Analyst to join our Financial Services…"
124,Data Analyst,Booking.com,3.8,Manchester,Manchester,,30+ days ago,"As Rentalcars continues its journey to be a fully data driven organisation, we are looking for an exceptional self-led data analyst/data scientist who wants to…"
125,Senior Data Analyst,The Dining Club Group,,Manchester,Manchester,,8 days ago,Creatively minded at presenting data and solving data problems.Proficient in Excel for data analysis (Essential).Salary*: Flexible dependent on experience.
126,Data Analyst - THG Wellbeing Brands,The Hut Group,2.5,Manchester,Manchester,,30+ days ago,"Championing the use of data to drive business decisions.Highly analytical individual, with a passion for all things data.We’ve sown the seeds, so to speak."
127,Senior Risk & Data Analyst - Compliance Assurance,The Co-operative Bank,3.7,Manchester,Manchester,,30+ days ago,"Senior Risk & Data Analyst - Compliance Assurance.Highly developed analytical, data interrogation and interpretative skills.What you can expect from us."
128,Senior Data Analyst,Amaze,4.0,Manchester,Manchester,,30+ days ago,"Sound working knowledge of data visualisation tools (e.g. Data Studio, Tableau).The role of the Data Intelligence (DI) Senior Data Analyst is to support the…"
129,Partner and Performance Co-ordinator,The BigLife Group,,Manchester,Manchester,"£28,221 a year",Today,"Working within Be Well and associated projects, including PCN link workers, you will support the service manager and data analyst to prepare, monitor and…"
130,Data Analyst - Myprotein,The Hut Group,2.5,Manchester,Manchester,,30+ days ago,"Championing the use of data to drive business decisions.Highly analytical individual, with a passion for all things data."
131,Data Analyst,Venturi,5.0,Manchester,Manchester,£200 - £300 a day,30+ days ago,Key responsibilities required for the Data Analyst include:Essential skills required for the Data Analyst include:Ability to manipulate data using SQL.
132,Digital Marketing Apprentices - Executive,QA Apprenticeships,2.9,Manchester,,£212 a week,Just posted,"Working in synergy with the CRM Data Analyst to gain valuable insights, and subsequently driving relevant actions.Desired qualities, skills and knowledge:"
133,Interim Data Modeller / Data Modelling,Triumph Consultants Ltd,4.0,Manchester,,£430 a day,19 days ago,"Data technologies and approaches, including some or all of the following: relational databases, data warehousing, Data Marts,.What's involved with this role:"
134,Divisional Data Analyst,Together Financial Services Ltd,,Manchester,Cheadle,"£25,000 - £28,000 a year",30+ days ago,Proven working experience as a Data Analyst.We now have a new requirement for a Data Analyst to join our Divisional Finance team.
135,Data Analyst,Hare,3.8,Manchester,Bury,,6 days ago,Measure and report on Estimating Department data requirements and the data life cycle.The Data Analyst will work with all the existing data within the business…
136,Data Analyst,Tagged Resources,,Manchester,Manchester,,30+ days ago,"Undertake analysis to identify anomalies within data and work to maintain data quality.Our client is a successful, large FMCG business currently seeking a Data…"
137,Treasury Data Analyst,Together Financial Services Ltd,,Manchester,Cheadle,"£22,000 - £28,000 a year",30+ days ago,"Work closely with data owners, data users and data custodians (IT) to ensure the root cause of reported data issues are understood and underlying problems /…"
138,Credit & Master Data Analyst,Inchcape,2.8,Manchester,Stockport SK4,,30+ days ago,"The Credit & Master Data Analyst will work with Commercial, Legal, other internal and external stakeholders to perform the processes associated with setting…"
139,Senior Forensic Data Analyst (EnCase),Latham & Watkins LLP,4.2,Manchester,Manchester,,30+ days ago,"Latham & Watkins, a global law firm consistently ranked among the top firms in the world, is seeking a Senior Forensic Data Analyst (EnCase) to join our dynamic…"
140,Data Analyst,Slater and Gordon Lawyers,3.1,Manchester,Bolton,,28 days ago,"Experienced data analyst with experience of working on reconciliations.Reporting to the Financial Controller, the data analyst responsibilities include…"
141,Operations/ Data Analyst,AM FRESH,,Manchester,Skelmersdale WN8,,30+ days ago,"Our Skelmersdale site, the newest member of the AMFRESH family is looking for an Operations/ Data Analyst to join the team."
142,Data Analyst Coach,Newtons Recruitment,,Manchester,Manchester,"£40,000 - £50,000 a year",11 days ago,"Delivery experience in Data Analyst L4 or equivalent.Data Analyst L4 or equivalent: 2 years (Required).By applying, you consent to Newtons Recruitment using…"
