bfi1,bfi2,bfi3,bfi4,bfi5,bfi6,bfi7,bfi8,bfi9,bfi10,bfi11,bfi12,bfi13,bfi14,bfi15,bfi16,bfi17,bfi18,bfi19,bfi20,bfi21,bfi22,bfi23,bfi24,bfi25,bfi26,bfi27,bfi28,bfi29,bfi30,bfi31,bfi32,bfi33,bfi34,bfi35,bfi36,bfi37,bfi38,bfi39,bfi40,bfi41,bfi42,bfi43,bfi44,arc1,arc2,arc3,arc4,arc5,arc6,arc7,arc8,arc9,arc10,arc11,arc12,malo1,malo2,malo3,malo4,malo5,malo6,malo7,malo8,malo9,malo10,malo11,malo12,sfpq1_1,sfpq1_2,sfpq1_3,sfpq1_4,sfpq1_5,sfpq1_6,sfpq1_7,sfpq2_1,sfpq2_2,sfpq2_3,sfpq2_4,sfpq2_5,sfpq2_6,sfpq2_7,sfpq3_1,sfpq3_2,sfpq3_3,sfpq3_4,sfpq3_5,sfpq3_6,sfpq3_7,mwd1,mwd2,mwd3,mwd4,mws1,mws2,mws3,mws4,eese1,eese2,eese3,eese4,eese5,eese6,eese7,eese8,eesi1,eesi2,eesi3,eesi4,eesi5,eesi6,eesi7,eesi8,tas5,tas13,tas21,tas30,tas37,tas45,tas53,tas60,tas68,tas73,tas81,tas90,tas99,tas108,tas116,tas123,tas131,tas141,tas149,tas156,tas165,tas173,tas182,tas189,tas197,tas208,tas215,tas223,tas231,tas238,tas249,tas257,tas265,tas273,d_eng,d_age,d_gender,attn1b,attn1b_8_TEXT,attn2,ARCES,MAASLO,SFPQT,MWS,MWD,IF,EF,TAS,extra,agree,consci,neurot,open
1,4,4,3,3,1,4,4,2,5,1,5,4,2,3,1,2,4,3,3,1,2,3,2,3,2,1,4,2,4,1,4,4,2,2,1,5,4,2,4,4,4,4,3,1,2,3,1,2,3,3,2,2,3,2,2,1,3,3,4,1,1,3,1,2,4,1,1,3,3,2,4,3,3,2,3,4,5,5,3,4,2,3,5,4,5,3,3,3,5,4,3,2,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,2,1,2,1,3,2,2,1,1,1,2,1,1,3,1,1,1,2,2,2,3,2,1,3,2,3,2,1,2,1,3,1,3,1,28,Male,8,I read the instructions,2,2.333333333,2.083333333,3.428571429,4.75,3.5,4,5,1.764705882,1.125,3.444444444,3.888888889,2.25,3.4
2,1,4,4,1,1,2,2,5,4,2,2,4,5,1,1,2,4,5,3,2,2,2,5,1,1,2,3,5,2,1,3,3,5,1,1,2,4,5,2,1,2,1,1,2,2,3,2,3,3,2,3,1,2,3,2,3,4,4,3,5,4,3,5,4,4,4,2,2,2,2,5,2,3,2,3,5,4,4,2,4,3,4,4,4,4,4,4,4,4,4,5,3,6,5,6,6,3,3,3,2,2,4,2,2,3,3,3,2,3,4,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,3,1,2,1,1,1,2,1,1,1,36,Male,8,I read the instructions,2,2.583333333,3.75,3.380952381,5.75,4,2.625,2.625,1.323529412,1.375,2,3,4.875,1.7
4,4,4,2,4,4,4,3,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,2,5,4,4,4,2,4,4,3,4,3,4,4,4,4,5,2,3,3,3,4,2,4,4,3,4,2,3,4,2,4,3,2,3,5,2,4,4,3,2,3,2,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,2,4,4,3,4,4,4,3,3,3,3,2,5,5,4,5,5,5,4,5,5,4,5,5,6,5,4,5,3,2,3,2,3,1,3,2,3,2,3,2,3,2,3,3,3,3,2,3,2,3,1,3,1,2,1,1,1,2,1,2,2,3,1,33,female,8,I read the instructions,2,3.416666667,3.166666667,3.523809524,2.75,3.75,4.875,4.75,2.235294118,4,3.888888889,3.888888889,2.25,4.2
5,4,5,2,5,3,5,5,1,5,5,4,5,1,5,5,5,5,1,5,4,5,5,1,5,5,3,5,2,5,5,5,5,1,2,5,3,5,1,5,5,3,5,5,1,3,3,1,3,3,3,1,1,2,2,1,3,2,5,5,1,1,1,1,4,1,2,1,3,4,4,4,4,4,4,2,4,4,4,4,4,2,3,4,4,4,4,4,4,2,3,1,2,3,3,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,3,2,2,4,2,1,3,2,4,3,2,2,2,3,2,3,3,1,4,2,4,4,2,3,4,3,3,2,2,1,3,3,4,1,46,Male,8,I read the instructions,2,2.083333333,2.25,3.714285714,3.25,2,6,6,2.617647059,4.625,4.111111111,5,1.25,4.7
5,5,4,1,3,3,5,4,2,4,4,5,5,1,3,4,5,4,4,2,4,5,5,1,2,2,5,5,1,4,4,5,4,2,4,5,5,5,4,4,4,5,4,4,3,4,3,2,3,4,3,4,2,5,3,3,2,5,5,4,5,5,4,3,5,3,3,3,4,4,5,4,4,4,2,3,4,5,5,4,4,4,4,5,5,4,4,5,5,1,2,2,1,3,2,1,2,6,5,6,4,4,6,6,6,5,6,6,5,5,6,6,6,1,3,2,3,1,2,3,1,2,3,1,2,1,1,4,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,3,1,55,female,8,I read the instructions,2,3.583333333,3.916666667,4.19047619,2,1.5,5.625,5.375,1.647058824,3.875,5,4.444444444,2,3.4
5,2,4,2,3,4,5,2,2,4,4,5,5,1,2,4,4,4,2,4,5,4,3,2,4,2,5,4,2,4,5,5,4,2,2,5,5,4,2,4,4,4,2,2,4,4,4,2,4,4,3,4,4,3,4,3,3,4,5,4,5,5,5,5,5,3,5,6,3,3,2,3,3,3,3,3,3,4,4,4,3,4,5,3,4,2,3,3,4,5,4,3,3,2,1,3,3,4,4,4,3,4,4,4,3,4,4,5,4,5,5,5,5,1,2,3,3,1,3,3,2,2,1,1,2,1,1,3,2,1,1,2,2,2,2,2,3,1,3,2,3,1,2,3,3,1,4,1,53,female,8,I read the instructions,2,3.916666667,4.583333333,3.285714286,2.25,3.75,4.625,3.75,2.029411765,4.25,4.333333333,3.555555556,1.875,3.3
3,2,5,4,5,3,5,2,1,5,3,5,2,2,5,3,4,2,2,5,1,4,2,1,5,3,2,4,2,5,1,5,3,1,5,3,3,4,2,5,5,4,3,5,2,2,2,2,3,4,3,3,2,3,4,2,1,4,1,4,2,2,2,1,4,3,3,2,3,3,3,4,3,3,3,3,4,4,3,3,3,2,3,4,4,4,3,4,3,7,7,6,7,5,4,6,6,4,3,3,3,4,3,3,3,4,4,5,4,5,6,5,7,3,4,4,4,1,4,3,4,3,2,3,2,1,2,4,3,3,2,2,3,3,4,3,2,3,4,4,3,2,2,2,4,2,3,2,25,Male,8,I read the instructions,2,2.916666667,2.416666667,3.285714286,5.25,6.75,5,3.25,2.882352941,2.5,3.777777778,3,1.875,5
3,3,3,4,4,3,5,2,2,3,4,2,3,2,2,3,2,3,4,4,3,5,5,4,4,2,3,4,4,4,4,4,4,3,4,3,2,4,3,3,4,3,4,3,3,2,3,2,3,2,1,4,2,4,2,1,5,2,5,5,3,2,4,3,3,3,1,1,4,3,2,4,2,2,3,4,3,4,2,3,4,3,3,4,2,2,4,3,2,5,3,3,5,4,3,5,5,4,2,5,4,3,5,2,5,3,5,4,2,2,6,7,7,3,2,2,3,3,2,3,2,3,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,3,2,1,2,3,2,3,2,3,2,1,27,Male,8,I read the instructions,2,2.75,3.083333333,3,4.25,4,4.5,3.75,2.441176471,3.125,3.222222222,3.555555556,3.25,3.5
3,5,4,1,5,3,4,4,1,5,2,5,5,2,5,2,5,4,1,5,3,5,3,1,5,4,5,5,1,5,4,5,5,1,4,4,5,4,2,5,4,4,5,3,2,2,3,2,3,3,3,2,2,2,2,2,2,1,3,3,2,1,3,2,3,3,3,1,2,2,5,5,4,4,1,1,1,5,5,3,5,1,4,3,3,4,4,4,5,7,7,7,7,6,2,7,6,6,6,7,6,6,6,6,7,7,6,7,6,6,6,6,7,2,3,2,3,1,4,3,4,4,3,2,3,3,2,4,3,2,2,3,3,2,3,3,1,3,4,3,2,2,2,1,3,2,2,1,34,male,8,I read the instructions,2,2.5,2.25,3.380952381,5.25,7,6.375,6.25,2.617647059,3.125,4.777777778,4.333333333,1.25,4.6
3,3,4,3,3,4,3,3,2,4,3,4,4,3,3,3,2,4,3,4,3,1,4,2,3,4,3,4,3,4,3,2,4,2,2,3,3,4,3,3,4,2,4,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,3,3,4,3,2,3,4,2,3,1,3,3,4,3,3,3,2,4,3,4,3,3,3,2,5,3,3,2,3,3,3,4,3,2,3,4,3,4,3,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,5,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,34,male,8,I read the instructions,2,2.333333333,2.666666667,3.095238095,3.5,3,4.125,4,1.382352941,3.25,2.555555556,3.888888889,2.625,3.3
1,5,5,4,3,1,5,5,2,4,1,5,5,2,3,1,3,5,4,5,1,3,5,2,3,1,5,5,2,4,1,4,5,2,1,1,5,5,5,4,3,4,5,3,2,2,2,3,3,2,3,3,2,3,3,2,4,2,2,3,4,3,3,4,3,2,4,1,3,3,4,4,4,4,2,2,3,3,4,3,3,1,4,3,3,3,4,4,5,7,7,6,5,4,3,4,4,5,6,6,5,5,5,5,6,5,6,6,5,5,5,5,6,2,3,3,3,1,3,2,2,1,1,2,3,1,1,3,2,1,2,2,2,3,2,2,2,2,2,2,2,2,3,1,2,1,2,1,28,Male,8,I read the instructions,2,2.75,2.916666667,3.285714286,3.75,6.25,5.375,5.375,2,1,4.333333333,5,2.875,3.3
2,4,5,2,5,4,5,4,2,5,5,4,5,2,5,5,3,4,3,5,2,5,4,2,5,4,4,5,2,4,3,4,5,2,4,4,3,4,2,5,5,5,4,3,4,3,2,1,3,3,2,3,1,2,4,1,4,1,3,3,1,2,4,2,4,5,1,2,3,3,5,5,4,3,3,4,3,3,2,5,2,4,5,3,2,2,3,2,5,7,7,7,7,4,4,5,3,6,5,5,4,5,5,5,7,6,5,3,6,6,6,6,7,2,1,2,1,1,3,3,4,2,1,3,1,1,1,1,3,2,2,4,3,2,3,4,1,2,1,1,2,4,2,2,3,1,4,1,29,Male,8,I read the instructions,2,2.666666667,2.666666667,3.380952381,4,7,5.625,5.25,2.147058824,3.625,4.111111111,4.444444444,2.125,4.6
4,5,5,1,5,2,5,5,2,4,4,5,5,1,4,5,5,5,1,5,5,5,5,1,5,1,5,5,1,4,3,5,5,1,3,4,5,5,3,5,5,5,5,3,1,3,2,1,4,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,7,7,7,7,1,1,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,2,3,2,1,1,1,1,2,1,1,1,1,1,3,1,4,1,44,female,8,I read the instructions,2,1.916666667,1,4.571428571,1.75,7,7,7,1.5,3.5,5,5,1.375,4.3
3,3,3,3,3,3,3,2,3,3,3,2,3,4,4,4,4,3,4,4,2,4,2,2,5,3,1,3,4,5,3,4,3,3,2,4,2,5,3,4,3,3,2,3,3,5,3,5,5,3,2,3,4,3,2,3,4,3,4,1,3,4,5,4,5,4,6,4,4,5,4,3,5,3,3,3,4,5,4,3,3,3,3,3,4,4,4,4,4,3,5,3,3,3,6,4,3,5,3,4,6,7,4,5,5,3,5,7,6,4,4,5,4,3,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,2,3,2,2,3,3,2,3,3,3,4,2,2,3,3,3,2,4,1,25,male,8,I read the instructions,2,3.666666667,3.916666667,3.714285714,4,3.5,4.75,4.875,2.647058824,3.125,2.888888889,2.888888889,3.25,3.6
4,4,5,1,5,1,5,5,1,5,5,5,5,1,4,5,5,5,1,5,3,5,5,1,5,5,5,5,1,5,4,5,5,1,1,5,1,5,2,5,4,5,4,3,2,1,2,2,2,1,1,3,1,2,3,1,1,1,2,2,1,1,1,1,2,3,1,1,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,2,2,2,3,4,1,4,1,6,6,7,5,6,6,7,7,7,7,5,5,5,5,5,5,2,3,3,1,1,2,3,3,2,2,2,3,2,1,2,2,3,1,3,2,3,2,3,2,2,3,1,1,1,1,1,3,1,3,1,34,Male,8,I read the instructions,2,2,1.416666667,4.523809524,2.5,2.25,5.5,6.25,2.058823529,4,4.444444444,4.888888889,1.125,4.2
2,1,4,1,3,2,1,2,1,2,1,4,4,3,4,2,1,2,3,2,2,2,4,2,4,2,1,2,2,4,2,1,4,2,3,2,2,4,2,4,4,2,3,4,1,1,2,1,2,2,3,2,1,2,2,1,3,3,2,1,2,2,3,2,2,2,2,2,3,2,3,2,3,3,3,3,3,2,3,3,2,3,4,3,2,3,2,3,2,3,4,4,3,3,1,3,2,3,5,4,3,3,4,3,5,4,3,3,4,4,3,4,4,2,2,2,2,1,2,2,2,1,1,1,1,1,1,3,1,2,2,2,2,1,2,3,1,2,1,1,2,2,1,1,2,1,1,1,28,male,8,I read the instructions,2,1.833333333,2.166666667,2.714285714,2.25,3.5,3.625,3.75,1.588235294,1.875,1.666666667,3.222222222,2,3.4
4,4,5,1,4,4,5,1,1,5,4,4,5,2,4,4,5,5,4,4,4,4,5,2,4,2,5,5,4,4,5,4,4,2,2,5,2,4,2,4,4,4,4,4,4,3,4,2,4,3,3,4,5,3,2,2,4,4,4,4,4,3,5,2,4,5,2,5,5,2,4,5,4,4,4,5,4,3,4,5,4,4,5,3,4,4,5,4,4,4,5,5,6,5,2,3,4,4,5,5,6,5,5,6,5,5,6,5,5,5,6,7,6,2,1,3,4,3,2,3,4,3,3,3,4,3,4,3,3,4,2,3,3,4,3,4,3,3,2,3,4,3,4,2,3,3,2,1,28,Female,8,I read the instructions,2,3.583333333,3.833333333,4.095238095,3.5,5,5.625,5.125,3.029411765,4,4.111111111,4.222222222,2.25,3.9
2,5,5,1,4,2,5,5,1,5,4,5,5,1,2,5,4,5,1,1,2,5,5,1,4,3,5,5,1,5,2,5,1,1,1,2,5,5,4,4,5,4,4,4,3,5,2,2,4,3,5,2,2,4,2,2,1,2,4,1,3,1,3,1,3,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,1,1,1,1,3,1,3,1,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,2,3,3,2,1,4,1,4,1,1,1,3,1,3,3,2,4,3,4,4,1,2,1,3,2,4,2,2,1,1,3,3,1,2,1,47,female,8,I read the instructions,2,3.166666667,1.916666667,4.857142857,2,1,6.125,6,2.294117647,2.75,4.777777778,4.444444444,1.375,3.5
2,4,5,1,4,1,4,5,1,5,2,5,5,2,4,2,3,5,2,4,2,4,5,1,4,2,5,5,1,4,2,4,4,1,1,2,5,5,2,4,4,4,4,4,1,3,2,1,2,2,2,2,1,3,1,1,3,2,4,3,3,2,4,3,4,3,2,1,3,4,4,5,4,4,3,2,1,4,4,3,4,1,5,4,4,5,3,4,5,5,4,5,4,3,2,4,3,5,6,5,5,6,6,5,7,5,6,6,5,6,6,6,5,2,3,2,3,1,2,3,1,1,2,2,3,1,2,3,2,1,2,3,2,1,3,3,1,1,4,1,2,1,2,1,2,1,2,1,44,male,8,I read the instructions,2,1.916666667,2.833333333,3.619047619,3,4.5,5.625,5.625,1.941176471,1.875,4.222222222,4.777777778,1.375,3.8
2,2,4,5,4,1,3,2,5,5,2,2,4,5,3,3,3,1,5,5,1,3,1,5,4,2,1,3,5,5,1,2,4,4,3,1,2,3,5,4,5,3,1,4,3,4,3,2,3,4,4,3,2,4,3,3,2,4,4,2,4,4,4,4,5,5,4,2,1,4,4,3,2,3,2,1,4,3,3,2,2,2,3,4,3,4,3,3,4,5,5,7,4,5,4,6,7,3,4,4,3,4,4,4,3,4,5,4,4,4,5,4,6,2,3,1,2,1,2,3,2,1,2,1,2,1,1,2,1,2,2,2,2,1,3,4,1,2,4,4,2,3,3,1,3,1,3,1,31,female,8,I read the instructions,2,3.416666667,3.666666667,2.857142857,5.5,5.25,4.5,3.625,2.058823529,1.625,2.333333333,2.555555556,4.875,4.2
4,5,4,2,4,4,4,4,1,4,2,4,5,4,4,4,5,4,2,4,3,4,4,2,3,2,4,4,3,3,3,4,5,1,3,4,4,4,2,3,4,4,3,3,3,3,3,2,2,3,4,3,2,2,2,2,2,3,2,1,2,2,3,2,2,4,3,2,3,3,5,4,4,4,4,3,3,3,3,4,3,3,4,2,2,2,2,3,3,5,4,5,5,6,3,5,6,4,3,4,2,3,3,3,3,5,4,5,3,4,3,3,3,3,1,3,3,3,2,3,2,3,1,2,3,1,3,1,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,26,man,8,I read the instructions,2,2.833333333,2.333333333,3.19047619,5,4.75,3.75,3.125,1.882352941,3.25,4.222222222,4.111111111,2.125,3.5
4,5,5,1,2,1,5,4,2,5,4,5,5,2,5,4,5,4,5,4,1,5,4,2,4,2,5,5,2,5,2,4,5,4,1,4,5,4,5,4,2,5,2,4,2,3,2,2,3,3,2,2,1,3,3,2,1,5,2,1,1,1,2,1,2,2,1,1,4,2,4,3,4,4,3,5,1,5,5,5,5,3,5,1,5,3,5,5,5,7,5,4,5,5,1,6,5,5,6,6,6,6,6,6,6,6,6,7,7,7,6,7,6,3,2,3,3,2,4,3,3,1,1,2,2,1,1,3,3,3,2,3,4,3,4,4,1,2,4,2,2,3,2,1,3,2,4,1,52,Female,8,I read the instructions,2,2.5,1.666666667,3.904761905,4.25,5.25,6.5,5.875,2.529411765,2.75,4.888888889,4.222222222,2.875,3.6
5,4,4,1,4,5,3,3,3,4,4,5,5,2,3,3,5,4,5,4,5,2,5,3,4,3,4,5,5,4,4,4,4,2,2,5,5,5,2,4,5,5,4,4,1,1,2,2,2,1,2,3,2,4,2,3,1,1,2,1,1,2,3,2,2,3,2,1,3,3,4,5,3,3,2,4,4,5,5,4,4,2,5,4,5,5,4,5,4,4,6,4,5,2,1,3,2,4,5,5,4,5,5,5,4,5,5,5,4,4,5,5,4,3,4,2,3,2,4,3,1,2,1,2,3,2,1,4,3,2,2,3,2,3,2,3,2,4,3,1,1,3,3,1,3,1,4,1,49,male,8,I read the instructions,2,2.333333333,1.75,3.952380952,2,4.75,4.625,4.625,2.441176471,4.25,4.111111111,4.333333333,2.875,3.8
